Word,Frequency
hunger,1
giving,5
anyt,1
laid,1
directions,1
spotlights,1
due,2
darkness,1
prua,1
americangerman,1
planes,2
throughout,1
towards,1
bomb,1
noisehumming,1
windows,1
werethey,1
break,3
picture,1
end,6
roa,1
warned,1
trestles,1
fall,3
ceiling,1
raus,3
fell,2
andreten,1
ger,6
left,7
surrounded,2
rmans,1
sticks,1
contrast,1
neat,1
shine,1
shoes,3
andandand,1
chasing,1
beating,5
lines,2
ecause,2
crazy,1
bag,1
stri,1
pass,1
comes,2
throwing,2
ren,1
scene,1
inhumanities,1
knocking,1
hitting,2
finishing,1
tearing,1
screams,1
cries,1
bottle,1
cologne,3
drink,4
alcoholic,1
barber,1
half,4
aftershave,1
lotion,1
tonic,1
poison,1
lose,4
alcohol,1
burp,1
smells,1
good,6
truth,1
drunk,1
smelled,1
asians,1
ignorants,1
drinking,2
transports,1
transport,1
birkenau,6
nine,1
hundred,4
happening,1
others,1
nobody,8
report,2
transferred,1
auschwitz,5
felt,3
smell,1
crematorium,3
experimenting,1
antret,1
lining,1
count,2
prisoners,12
looke,1
experiments,1
die,8
wagonspulled,1
legs,1
thrown,1
prison,1
outfits,3
band,6
class,1
sorry,2
gate,1
arbeit,1
macht,1
das,1
leben,1
frei,1
free,6
pictur,1
marched,4
marches,2
allmusicians,1
europe,1
excellent,1
everytimethere,1
bleeding,1
chair,5
woman,2
tied,4
bumps,2
mass,1
acred,1
son,4
camp,13
families,2
misconception,1
nationalities,1
blood,2
broken,2
fixed,1
tried,4
true,4
werkhalle,2
workshop,1
rails,2
stub,1
cigarette,4
pick,7
threw,2
cigarettes,3
prisoner,4
ahead,2
reported,1
ick,1
marching,3
nightsomewhe,1
highway,1
factory,9
suddenly,1
sneaked,1
organized,2
cahoots,1
guards,7
help,7
yet,2
trust,5
became,2
certain,4
polack,1
fooled,1
cheated,1
anyway,2
column,2
hero,1
protecting,1
sometimes,2
souls,1
forget,3
becau,1
alive,3
helping,3
ghe,1
tto,1
outbeing,1
transported,1
workinglike,1
coast,2
guard,7
usa,1
patrol,1
ranking,3
officer,4
hitler,2
wins,1
special,3
prosper,1
intelligent,2
wrong,1
argument,1
message,1
messenger,1
barbed,1
wire,1
best,1
leather,1
briefcases,1
newspapers,1
zollen,1
vodka,1
elektriker,1
kopf,1
hoch,1
alles,1
wird,1
noch,1
gut,1
sein,1
electrician,1
keep,7
chin,1
everythi,1
future,1
calli,1
tomorrow,2
surprised,2
becaus,1
catch,1
kick,2
schweinehund,1
insult,1
kicked,1
screamed,1
fine,1
laugh,5
farm,1
kutscher,1
coachman,1
ride,1
horses,1
depends,1
ruling,1
auschwitzbirkenau,4
approaching,1
transferring,1
schwientochlowitz,4
gräditzbareza,2
mauthausen,8
leitmeritz,4
theresienstadt,5
must,1
moved,2
petersburg,2
virginia,3
formally,1
named,1
eintracthütte,1
subcamp,3
located,3
swietochowice,1
upper,3
silesia,1
flossenbürg,1
litomice,1
sudetenland,1
czechoslovakia,3
excuse,1
need,2
apologi,1
control,1
pulled,1
clothes,8
shower,1
tripped,1
rusted,1
pipe,1
foot,1
swelling,1
chamber,1
next,8
pajamas,1
muddy,1
wheels,1
pushing,1
unnecessary,1
digging,1
parts,1
wound,1
experience,1
lathe,1
mach,1
ine,1
outside,6
woul,1
youkeep,1
recognizing,1
item,1
knife,2
cutting,2
button,1
wave,1
piece,3
takes,1
andanddid,1
civilian,1
foreman,3
carpetthis,1
covering,1
czec,1
machinist,1
breaking,2
nobodywhen,1
runthose,1
explain,1
device,1
hold,2
doesn,2
lift,1
crane,1
broke,2
care,3
worked,1
hangings,1
supper,1
sets,1
wiresand,2
electric,1
hanged,2
wires,1
urinating,1
read,2
sentence,1
calling,1
murderers,1
shooting,2
sounds,1
bother,2
anymore,3
hung,1
watching,1
feel,1
react,1
reason,2
normal,1
self,1
change,1
killed,4
basically,2
conditions,1
workers,1
barracks,5
marchedthat,1
pocket,3
dried,1
terrific,1
starved,1
awhile,2
counting,1
antre,1
ten,1
figure,2
asleep,1
instantly,1
machines,2
toilets,2
scariest,1
completely,1
open,6
scream,1
situation,4
garbage,1
wake,1
star,1
hanging,2
quick,1
yourself,2
fortunate,1
ead,1
dragged,1
ont,1
taken,2
suppose,2
episode,1
evacuated,1
spic,1
span,1
clean,2
shin,1
railroad,1
cattle,1
stove,1
chicken,1
chalk,2
bill,1
thinks,1
gun,1
chickens,1
holding,3
developing,1
typhus,7
fever,1
partial,1
trucks,3
tree,1
bingo,1
disappeari,1
bit,1
sometime,1
explosions,1
cannons,1
